             r1x                 r1y                 r2x                 r2y                 r3x                 r3y                   t    
         -0.89714022         -0.44174588          1.12586946          0.55437064          2.46269142          1.21261289          1.25000000
         -0.89551727         -0.44502676          1.12383274          0.55848800          2.45823634          1.22161906          1.26000000
         -0.89388232         -0.44830168          1.12178095          0.56259787          2.45374833          1.23060886          1.27000000
         -0.89223539         -0.45157059          1.11971413          0.56670020          2.44922744          1.23958218          1.28000000
         -0.89057651         -0.45483346          1.11763232          0.57079494          2.44467374          1.24853888          1.29000000
         -0.88890570         -0.45809022          1.11553552          0.57488203          2.44008728          1.25747886          1.30000000
         -0.88722298         -0.46134085          1.11342379          0.57896142          2.43546813          1.26640199          1.31000000
         -0.88552837         -0.46458530          1.11129713          0.58303306          2.43081635          1.27530815          1.32000000
         -0.88382190         -0.46782353          1.10915559          0.58709688          2.42613201          1.28419723          1.33000000
         -0.88210358         -0.47105548          1.10699918          0.59115284          2.42141515          1.29306910          1.34000000
         -0.88037345         -0.47428113          1.10482794          0.59520087          2.41666586          1.30192365          1.35000000
         -0.87863152         -0.47750042          1.10264190          0.59924093          2.41188418          1.31076075          1.36000000
         -0.87687782         -0.48071331          1.10044109          0.60327296          2.40707019          1.31958029          1.37000000
         -0.87511237         -0.48391977          1.09822553          0.60729691          2.40222395          1.32838215          1.38000000
         -0.87333520         -0.48711973          1.09599526          0.61131273          2.39734552          1.33716621          1.39000000
         -0.87154632         -0.49031318          1.09375030          0.61532035          2.39243498          1.34593236          1.40000000
         -0.86974577         -0.49350005          1.09149069          0.61931973          2.38749238          1.35468047          1.41000000
         -0.86793356         -0.49668031          1.08921646          0.62331081          2.38251779          1.36341044          1.42000000
         -0.86610973         -0.49985392          1.08692763          0.62729354          2.37751128          1.37212213          1.43000000
         -0.86427429         -0.50302083          1.08462424          0.63126786          2.37247292          1.38081545          1.44000000
         -0.86242727         -0.50618100          1.08230632          0.63523373          2.36740277          1.38949026          1.45000000
         -0.86056870         -0.50933439          1.07997390          0.63919109          2.36230090          1.39814646          1.46000000
         -0.85869859         -0.51248095          1.07762700          0.64313988          2.35716738          1.40678392          1.47000000
         -0.85681699         -0.51562065          1.07526567          0.64708005          2.35200227          1.41540253          1.48000000
         -0.85492390         -0.51875344          1.07288993          0.65101156          2.34680566          1.42400219          1.49000000
         -0.85301936         -0.52187927          1.07049982          0.65493434          2.34157760          1.43258276          1.50000000
         -0.85110339         -0.52499812          1.06809537          0.65884835          2.33631817          1.44114414          1.51000000
         -0.84917601         -0.52810993          1.06567660          0.66275353          2.33102744          1.44968621          1.52000000
         -0.84723726         -0.53121467          1.06324356          0.66664983          2.32570548          1.45820885          1.53000000
         -0.84528716         -0.53431229          1.06079627          0.67053720          2.32035236          1.46671196          1.54000000
         -0.84332573         -0.53740275          1.05833477          0.67441559          2.31496814          1.47519542          1.55000000
         -0.84135300         -0.54048601          1.05585908          0.67828494          2.30955292          1.48365911          1.56000000
         -0.83936900         -0.54356203          1.05336926          0.68214520          2.30410674          1.49210293          1.57000000
         -0.83737375         -0.54663077          1.05086531          0.68599632          2.29862970          1.50052675          1.58000000
         -0.83536729         -0.54969218          1.04834729          0.68983825          2.29312186          1.50893047          1.59000000
         -0.83334963         -0.55274623          1.04581523          0.69367094          2.28758330          1.51731397          1.60000000
         -0.83132081         -0.55579287          1.04326915          0.69749433          2.28201408          1.52567715          1.61000000
         -0.82928085         -0.55883207          1.04070909          0.70130838          2.27641430          1.53401988          1.62000000
         -0.82722977         -0.56186377          1.03813509          0.70511304          2.27078401          1.54234206          1.63000000
         -0.82516762         -0.56488795          1.03554718          0.70890824          2.26512330          1.55064357          1.64000000
         -0.82309441         -0.56790456          1.03294540          0.71269395          2.25943224          1.55892431          1.65000000
         -0.82101017         -0.57091357          1.03032977          0.71647011          2.25371090          1.56718416          1.66000000
         -0.81891493         -0.57391492          1.02770034          0.72023667          2.24795938          1.57542302          1.67000000
         -0.81680872         -0.57690859          1.02505715          0.72399358          2.24217773          1.58364076          1.68000000
         -0.81469156         -0.57989452          1.02240022          0.72774079          2.23636604          1.59183729          1.69000000
         -0.81256349         -0.58287269          1.01972959          0.73147825          2.23052439          1.60001249          1.70000000
         -0.81042454         -0.58584304          1.01704529          0.73520591          2.22465286          1.60816626          1.71000000
         -0.80827472         -0.58880555          1.01434738          0.73892372          2.21875151          1.61629847          1.72000000
         -0.80611408         -0.59176017          1.01163587          0.74263163          2.21282044          1.62440904          1.73000000
         -0.80394263         -0.59470685          1.00891080          0.74632958          2.20685973          1.63249783          1.74000000
         -0.80176042         -0.59764558          1.00617222          0.75001754          2.20086944          1.64056476          1.75000000
         -0.79956746         -0.60057629          1.00342016          0.75369545          2.19484967          1.64860970          1.76000000
         -0.79736379         -0.60349896          1.00065466          0.75736327          2.18880049          1.65663256          1.77000000
         -0.79514943         -0.60641354          0.99787575          0.76102093          2.18272199          1.66463322          1.78000000
         -0.79292443         -0.60931999          0.99508346          0.76466840          2.17661424          1.67261158          1.79000000
         -0.79068879         -0.61221829          0.99227785          0.76830562          2.17047733          1.68056753          1.80000000
         -0.78844257         -0.61510838          0.98945894          0.77193255          2.16431133          1.68850096          1.81000000
         -0.78618578         -0.61799023          0.98662677          0.77554914          2.15811634          1.69641177          1.82000000
         -0.78391846         -0.62086380          0.98378139          0.77915534          2.15189244          1.70429985          1.83000000
         -0.78164063         -0.62372905          0.98092282          0.78275109          2.14563970          1.71216509          1.84000000
         -0.77935233         -0.62658594          0.97805112          0.78633636          2.13935822          1.72000740          1.85000000
         -0.77705359         -0.62943444          0.97516630          0.78991110          2.13304807          1.72782666          1.86000000
         -0.77474444         -0.63227450          0.97226843          0.79347525          2.12670934          1.73562277          1.87000000
         -0.77242491         -0.63510610          0.96935752          0.79702877          2.12034212          1.74339563          1.88000000
         -0.77009503         -0.63792918          0.96643363          0.80057161          2.11394649          1.75114513          1.89000000
         -0.76775483         -0.64074372          0.96349679          0.80410372          2.10752254          1.75887116          1.90000000
         -0.76540435         -0.64354967          0.96054704          0.80762506          2.10107035          1.76657363          1.91000000
         -0.76304361         -0.64634700          0.95758442          0.81113558          2.09459002          1.77425244          1.92000000
         -0.76067265         -0.64913568          0.95460897          0.81463524          2.08808161          1.78190747          1.93000000
         -0.75829149         -0.65191565          0.95162073          0.81812397          2.08154523          1.78953862          1.94000000
         -0.75590018         -0.65468689          0.94861975          0.82160175          2.07498096          1.79714580          1.95000000
         -0.75349874         -0.65744936          0.94560605          0.82506852          2.06838890          1.80472890          1.96000000
         -0.75108720         -0.66020301          0.94257968          0.82852423          2.06176911          1.81228782          1.97000000
         -0.74866560         -0.66294783          0.93954068          0.83196885          2.05512171          1.81982246          1.98000000
         -0.74623397         -0.66568376          0.93648910          0.83540232          2.04844677          1.82733272          1.99000000
         -0.74379234         -0.66841077          0.93342497          0.83882459          2.04174438          1.83481850          2.00000000
         -0.74134074         -0.67112883          0.93034833          0.84223562          2.03501464          1.84227969          2.01000000
         -0.73887921         -0.67383789          0.92725923          0.84563538          2.02825763          1.84971620          2.02000000
         -0.73640779         -0.67653793          0.92415770          0.84902380          2.02147345          1.85712792          2.03000000
         -0.73392649         -0.67922890          0.92104379          0.85240084          2.01466219          1.86451477          2.04000000
         -0.73143537         -0.68191077          0.91791754          0.85576647          2.00782393          1.87187663          2.05000000
         -0.72893444         -0.68458351          0.91477899          0.85912063          2.00095877          1.87921341          2.06000000
         -0.72642375         -0.68724707          0.91162819          0.86246328          1.99406680          1.88652502          2.07000000
         -0.72390332         -0.68990143          0.90846517          0.86579437          1.98714811          1.89381134          2.08000000
         -0.72137320         -0.69254654          0.90528998          0.86911386          1.98020280          1.90107230          2.09000000
         -0.71883341         -0.69518237          0.90210266          0.87242171          1.97323096          1.90830778          2.10000000
         -0.71628399         -0.69780889          0.89890326          0.87571787          1.96623269          1.91551770          2.11000000
         -0.71372497         -0.70042606          0.89569181          0.87900230          1.95920806          1.92270195          2.12000000
         -0.71115639         -0.70303385          0.89246836          0.88227495          1.95215719          1.92986044          2.13000000
         -0.70857828         -0.70563221          0.88923295          0.88553578          1.94508016          1.93699308          2.14000000
         -0.70599068         -0.70822113          0.88598563          0.88878474          1.93797708          1.94409976          2.15000000
         -0.70339362         -0.71080055          0.88272644          0.89202180          1.93084802          1.95118040          2.16000000
         -0.70078713         -0.71337045          0.87945542          0.89524690          1.92369310          1.95823489          2.17000000
         -0.69817126         -0.71593079          0.87617262          0.89846002          1.91651240          1.96526315          2.18000000
         -0.69554603         -0.71848154          0.87287808          0.90166109          1.90930603          1.97226507          2.19000000
         -0.69291148         -0.72102266          0.86957184          0.90485008          1.90207407          1.97924058          2.20000000
         -0.69026765         -0.72355413          0.86625396          0.90802695          1.89481663          1.98618956          2.21000000
         -0.68761457         -0.72607590          0.86292447          0.91119165          1.88753381          1.99311193          2.22000000
         -0.68495228         -0.72858794          0.85958341          0.91434415          1.88022569          2.00000760          2.23000000
         -0.68228081         -0.73109021          0.85623084          0.91748439          1.87289238          2.00687647          2.24000000
         -0.67960019         -0.73358270          0.85286680          0.92061234          1.86553398          2.01371845          2.25000000
         -0.67691048         -0.73606535          0.84949133          0.92372796          1.85815059          2.02053345          2.26000000
         -0.67421169         -0.73853815          0.84610448          0.92683120          1.85074229          2.02732139          2.27000000
         -0.67150387         -0.74100104          0.84270629          0.92992202          1.84330921          2.03408215          2.28000000
         -0.66878706         -0.74345401          0.83929681          0.93300039          1.83585142          2.04081567          2.29000000
         -0.66606128         -0.74589702          0.83587609          0.93606625          1.82836904          2.04752184          2.30000000
         -0.66332658         -0.74833004          0.83244417          0.93911957          1.82086216          2.05420058          2.31000000
         -0.66058299         -0.75075303          0.82900109          0.94216031          1.81333088          2.06085180          2.32000000
         -0.65783056         -0.75316596          0.82554691          0.94518843          1.80577531          2.06747541          2.33000000
         -0.65506930         -0.75556880          0.82208166          0.94820388          1.79819555          2.07407131          2.34000000
         -0.65229927         -0.75796151          0.81860541          0.95120663          1.79059169          2.08063943          2.35000000
         -0.64952051         -0.76034407          0.81511818          0.95419663          1.78296384          2.08717967          2.36000000
         -0.64673304         -0.76271645          0.81162003          0.95717385          1.77531211          2.09369194          2.37000000
         -0.64393690         -0.76507860          0.80811101          0.96013825          1.76763659          2.10017617          2.38000000
         -0.64113214         -0.76743051          0.80459117          0.96308978          1.75993738          2.10663225          2.39000000
         -0.63831878         -0.76977213          0.80106054          0.96602840          1.75221460          2.11306011          2.40000000
         -0.63549688         -0.77210344          0.79751918          0.96895409          1.74446834          2.11945966          2.41000000
         -0.63266646         -0.77442440          0.79396713          0.97186679          1.73669870          2.12583082          2.42000000
         -0.62982756         -0.77673499          0.79040445          0.97476647          1.72890580          2.13217349          2.43000000
         -0.62698023         -0.77903517          0.78683117          0.97765309          1.72108973          2.13848759          2.44000000
         -0.62412449         -0.78132491          0.78324736          0.98052661          1.71325061          2.14477304          2.45000000
         -0.62126039         -0.78360419          0.77965305          0.98338700          1.70538853          2.15102976          2.46000000
         -0.61838797         -0.78587296          0.77604829          0.98623421          1.69750360          2.15725765          2.47000000
         -0.61550727         -0.78813121          0.77243314          0.98906820          1.68959592          2.16345664          2.48000000
         -0.61261831         -0.79037890          0.76880763          0.99188895          1.68166561          2.16962665          2.49000000
         -0.60972115         -0.79261600          0.76517183          0.99469640          1.67371277          2.17576759          2.50000000
         -0.60681582         -0.79484248          0.76152578          0.99749053          1.66573750          2.18187937          2.51000000
         -0.60390236         -0.79705830          0.75786952          1.00027129          1.65773992          2.18796193          2.52000000
         -0.60098081         -0.79926345          0.75420311          1.00303865          1.64972013          2.19401516          2.53000000
         -0.59805120         -0.80145789          0.75052659          1.00579257          1.64167823          2.20003901          2.54000000
         -0.59511359         -0.80364160          0.74684002          1.00853302          1.63361433          2.20603337          2.55000000
         -0.59216800         -0.80581453          0.74314344          1.01125995          1.62552855          2.21199818          2.56000000
         -0.58921447         -0.80797667          0.73943690          1.01397334          1.61742099          2.21793335          2.57000000
         -0.58625306         -0.81012799          0.73572046          1.01667314          1.60929176          2.22383881          2.58000000
         -0.58328378         -0.81226845          0.73199416          1.01935932          1.60114097          2.22971447          2.59000000
         -0.58030669         -0.81439802          0.72825805          1.02203184          1.59296873          2.23556026          2.60000000
         -0.57732183         -0.81651669          0.72451218          1.02469066          1.58477514          2.24137609          2.61000000
         -0.57432923         -0.81862441          0.72075661          1.02733576          1.57656032          2.24716190          2.62000000
         -0.57132894         -0.82072117          0.71699138          1.02996709          1.56832438          2.25291759          2.63000000
         -0.56832099         -0.82280693          0.71321655          1.03258463          1.56006742          2.25864310          2.64000000
         -0.56530543         -0.82488167          0.70943216          1.03518833          1.55178956          2.26433835          2.65000000
         -0.56228229         -0.82694536          0.70563826          1.03777816          1.54349092          2.27000327          2.66000000
         -0.55925162         -0.82899796          0.70183491          1.04035408          1.53517159          2.27563776          2.67000000
         -0.55621346         -0.83103946          0.69802216          1.04291607          1.52683169          2.28124177          2.68000000
         -0.55316785         -0.83306982          0.69420005          1.04546408          1.51847134          2.28681522          2.69000000
         -0.55011482         -0.83508903          0.69036865          1.04799809          1.51009064          2.29235802          2.70000000
         -0.54705442         -0.83709704          0.68652799          1.05051805          1.50168971          2.29787011          2.71000000
         -0.54398670         -0.83909384          0.68267813          1.05302394          1.49326866          2.30335142          2.72000000
         -0.54091168         -0.84107940          0.67881913          1.05551572          1.48482760          2.30880186          2.73000000
         -0.53782942         -0.84305368          0.67495104          1.05799336          1.47636665          2.31422137          2.74000000
         -0.53473995         -0.84501668          0.67107390          1.06045683          1.46788591          2.31960988          2.75000000
         -0.53164332         -0.84696835          0.66718777          1.06290608          1.45938551          2.32496730          2.76000000
         -0.52853956         -0.84890867          0.66329270          1.06534110          1.45086556          2.33029358          2.77000000
         -0.52542873         -0.85083762          0.65938874          1.06776184          1.44232617          2.33558863          2.78000000
         -0.52231085         -0.85275517          0.65547595          1.07016828          1.43376745          2.34085239          2.79000000
         -0.51918598         -0.85466129          0.65155438          1.07256037          1.42518953          2.34608479          2.80000000
         -0.51605415         -0.85655596          0.64762407          1.07493810          1.41659251          2.35128576          2.81000000
         -0.51291540         -0.85843916          0.64368509          1.07730142          1.40797651          2.35645522          2.82000000
         -0.50976978         -0.86031086          0.63973749          1.07965032          1.39934164          2.36159311          2.83000000
         -0.50661734         -0.86217102          0.63578132          1.08198474          1.39068803          2.36669936          2.84000000
         -0.50345810         -0.86401964          0.63181662          1.08430467          1.38201578          2.37177390          2.85000000
         -0.50029212         -0.86585668          0.62784346          1.08661007          1.37332502          2.37681666          2.86000000
         -0.49711944         -0.86768212          0.62386189          1.08890091          1.36461586          2.38182757          2.87000000
         -0.49394009         -0.86949594          0.61987196          1.09117717          1.35588841          2.38680658          2.88000000
         -0.49075413         -0.87129810          0.61587373          1.09343880          1.34714280          2.39175361          2.89000000
         -0.48756160         -0.87308859          0.61186724          1.09568578          1.33837914          2.39666859          2.90000000
         -0.48436253         -0.87486739          0.60785256          1.09791809          1.32959755          2.40155146          2.91000000
         -0.48115697         -0.87663446          0.60382973          1.10013568          1.32079814          2.40640215          2.92000000
         -0.47794496         -0.87838978          0.59979881          1.10233853          1.31198104          2.41122060          2.93000000
         -0.47472655         -0.88013334          0.59575986          1.10452662          1.30314636          2.41600675          2.94000000
         -0.47150178         -0.88186511          0.59171292          1.10669990          1.29429421          2.42076053          2.95000000
         -0.46827070         -0.88358506          0.58765806          1.10885836          1.28542473          2.42548187          2.96000000
         -0.46503334         -0.88529317          0.58359532          1.11100196          1.27653803          2.43017071          2.97000000
         -0.46178975         -0.88698942          0.57952476          1.11313068          1.26763422          2.43482700          2.98000000
         -0.45853997         -0.88867379          0.57544644          1.11524448          1.25871343          2.43945066          2.99000000
         -0.45528405         -0.89034625          0.57136041          1.11734334          1.24977577          2.44404164          3.00000000
         -0.45202202         -0.89200678          0.56726672          1.11942723          1.24082137          2.44859988          3.01000000
         -0.44875395         -0.89365536          0.56316544          1.12149612          1.23185034          2.45312531          3.02000000
         -0.44547985         -0.89529196          0.55905660          1.12354999          1.22286281          2.45761787          3.03000000
         -0.44219980         -0.89691657          0.55494028          1.12558880          1.21385890          2.46207750          3.04000000
         -0.43891381         -0.89852917          0.55081652          1.12761253          1.20483872          2.46650414          3.05000000
         -0.43562195         -0.90012972          0.54668539          1.12962115          1.19580240          2.47089774          3.06000000
         -0.43232425         -0.90171822          0.54254692          1.13161464          1.18675006          2.47525824          3.07000000
